"fy_ef","organization_id","organization","core_responsibility","program_id","program_name","planned_spending_1","actual_spending","planned_spending_2","planned_spending_3","planned_ftes_1","actual_ftes","planned_ftes_2","planned_ftes_3","planning_explanation","variance_explanation"
"2025-2026",87,"Canadian Nuclear Safety Commission","Nuclear Regulation","BTJ05","Scientific, Regulatory and Public Information Program",34506957.00,17624642.42,35391005.00,35953053.00,175.00,,179.00,170.00,,
"2025-2026",87,"Canadian Nuclear Safety Commission","Internal Services","ISS00","Internal Services",62270675.00,29876261.35,63866013.00,64880275.00,338.00,,342.00,350.00,,
"2025-2026",93,"Canadian Radio-television and Telecommunications Commission","Regulate and Supervise the Communications System","BRT01","Support for Canadian Content Creation",6499439.00,-9702761.66,3363748.00,3361987.00,213.00,,192.00,192.00,"The net planned spending in 2025-26 is higher than the net planned spending in 2024-25 by almost $2 million. This increase is attributable to temporary funding to accelerate the implementation of amendments to the _Broadcasting Act_ (C-11).",
"2025-2026",93,"Canadian Radio-television and Telecommunications Commission","Regulate and Supervise the Communications System","BRT02","Connection to the Communications System",5015012.00,-10995311.46,3875940.00,3874177.00,221.00,,218.00,218.00,"The net planned spending in 2025-26 is higher than the net planned spending in 2024-25 by almost $0.9 million. This increase is attributable to temporary funding to accelerate the implementation of amendments to the _Broadcasting Act_ (C-11).",
"2025-2026",93,"Canadian Radio-television and Telecommunications Commission","Regulate and Supervise the Communications System","BRT03","Protection Within the Communications System",6010588.00,-1205921.99,5614692.00,5615298.00,95.00,,95.00,95.00,,
"2025-2026",93,"Canadian Radio-television and Telecommunications Commission","Internal Services","ISS00","Internal Services",4341215.00,-6636484.07,3642662.00,3644546.00,188.00,,182.00,182.00,"The net planned spending in 2025-26 is higher than the net planned spending in 2024-25 by almost $0.6 million. This increase is attributable to temporary funding to accelerate the implementation of amendments to the _Broadcasting Act_ (C-11).",
"2025-2026",95,"Canadian Space Agency","Canada in space","BLM01","Space Exploration",600055763.00,136388933.02,576426532.00,329798818.00,371.45,,382.45,387.75,"The decrease is mainly due to the net decrease in Canadarm3 investments. This decrease is due to the conclusion of incremental funding received for the definition phase of Canadarm3. Additional funding will be sought for the implementation phase in the coming years.",
"2025-2026",95,"Canadian Space Agency","Canada in space","BLM02","Space Utilization",89442183.00,24595473.17,128121750.00,124958461.00,153.08,,149.58,133.38,"**Spending**
The increase is mainly due to the scaling up of the Thin Ice Cloud in InfraRed Emissions (TICFIRE) instrument for inclusion in the NASA-led AOS mission, as well as the initiation of the RADARSAT+ initiative.

**FTE**
The decrease in planned FTEs is mainly due to a slowdown in hiring in preparation for future projects.",
"2025-2026",95,"Canadian Space Agency","Canada in space","BLM03","Space Capacity Development",88513006.00,41420785.92,77591911.00,73397382.00,141.26,,143.36,142.86,"The decrease is mainly due to the ramping down of the current phase in the Quantum Encryption and Science Satellite (QEYSSat) project.",
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS01","Management and Oversight Services",14285783.00,7037566.25,14586105.00,15822251.00,90.86,,88.36,89.36,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS02","Communications Services",5650785.00,2577268.02,4709176.00,4720526.00,19.85,,19.45,19.55,"The decrease is mainly due to the decrease of communication activities related to projects that have been postponed.",
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS03","Legal Services",1401333.00,897948.37,1400568.00,1399568.00,0.70,,1.00,1.00,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS04","Human Resources Management Services",9169397.00,5541204.76,8930960.00,8218406.00,92.70,,91.40,91.30,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS05","Financial Management Services",5833226.00,4313145.79,5681292.00,6141656.00,51.90,,50.80,50.50,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS06","Information Management Services",2456322.00,1501069.38,2461322.00,2462322.00,21.70,,21.60,21.70,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS07","Information Technology Services",12481672.00,7444053.64,13105831.00,13182926.00,74.10,,75.50,75.70,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS08","Real Property Management Services",2503071.00,1989631.21,2370777.00,2160210.00,8.71,,9.01,9.11,,
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS09","Materiel Management Services",387310.00,186883.14,267398.00,340037.00,3.60,,3.70,3.70,"The decrease is mainly due to the review of the vehicle fleet acquisition plan.",
"2025-2026",95,"Canadian Space Agency","Internal Services","ISS0Z","Acquisition Management Services",1900980.00,1136638.12,1862931.00,1631178.00,14.40,,13.70,13.80,"The decrease is mainly due to the conclusion of the memorandum of understanding with Public Services and Procurement Canada related to the implementation of a digital procurement records management system.",
"2025-2026",98,"Canadian Transportation Accident Investigation and Safety Board","Independent safety investigations and communication of risks in the transportation system","BWA01","Aviation Occurrence Investigations",15670281.00,9630150.24,15691068.00,15691068.00,96.00,,96.00,96.00,,
"2025-2026",98,"Canadian Transportation Accident Investigation and Safety Board","Independent safety investigations and communication of risks in the transportation system","BWA02","Marine Occurrence Investigations",8621542.00,3995992.34,8632979.00,8632979.00,48.00,,48.00,48.00,,
"2025-2026",98,"Canadian Transportation Accident Investigation and Safety Board","Independent safety investigations and communication of risks in the transportation system","BWA03","Rail Occurrence Investigations",7839894.00,3804199.64,7850293.00,7850293.00,44.00,,44.00,44.00,,
"2025-2026",98,"Canadian Transportation Accident Investigation and Safety Board","Independent safety investigations and communication of risks in the transportation system","BWA04","Pipeline Occurrence Investigations",767288.00,433004.97,768306.00,768306.00,5.00,,5.00,5.00,,
"2025-2026",98,"Canadian Transportation Accident Investigation and Safety Board","Internal Services","ISS00","Internal Services",8224751.00,5582068.32,8235662.00,8235662.00,52.00,,52.00,52.00,,
"2025-2026",99,"Canadian Transportation Agency","Independent regulatory and dispute-resolution services for transportation providers and users","BTT02","Dispute Resolution",24601652.00,15719739.08,14898897.00,14916059.00,218.00,,158.00,158.00,"For fiscal years 2026-27 and 2027-28, the planned spending reflects a decrease of approximately $10 million due to the sunsetting temporary funds that were used primarily to expand the Agency’s capacity to process air passengers complaints, as per Budget 2023. Consequently, the planned FTEs are expected to decrease over the next couple of years.",
"2025-2026",99,"Canadian Transportation Agency","Independent regulatory and dispute-resolution services for transportation providers and users","BTT03","Determinations and Compliance",15483511.00,8470884.58,9376900.00,9387701.00,107.00,,101.00,101.00,"For fiscal years 2026-27 and 2027-28, the planned spending reflects a decrease of approximately $6 million due to the sunsetting temporary funds that the Agency received from Budget 2023. Consequently, the planned FTEs are expected to decrease over the next couple of years.",
"2025-2026",99,"Canadian Transportation Agency","Internal Services","ISS00","Internal Services",16386368.00,7397124.66,9923675.00,9935107.00,91.00,,81.00,81.00,"For fiscal years 2026-27 and 2027-28, the planned spending reflects a decrease of approximately $6 million due to the sunsetting temporary funds that the Agency received from Budget 2023. Consequently, the planned FTEs are expected to decrease over the next couple of years.",
"2025-2026",114,"Copyright Board","Copyright Tariffs and Licences","BEZ01","Copyright Tariff Setting and Issuance of Licences",3784463.00,2278715.36,3787392.00,3787392.00,21.00,,21.00,21.00,,
"2025-2026",114,"Copyright Board","Internal Services","ISS00","Internal Services",946116.00,224940.53,946848.00,946848.00,5.00,,5.00,5.00,,
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ01","Institutional Management and Support",513189969.00,98142991.70,272351559.00,146470201.00,1041.00,,977.00,944.00,"The anticipated decrease in spending for 2026-27 is related to the decrease in funding for class-action lawsuits as this funding is sunsetting that fiscal year.",
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ02","Supervision",942616242.00,498571562.61,811371130.00,811717789.00,6504.00,,6400.00,6400.00,"The anticipated decrease in spending for 2026-27 is related to funding for stabilizing operations related to workplace injuries sunsetting in fiscal year 2025-2026, as well as reductions for Refocusing Government Spending.",
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ03","Drug Enforcement",13141658.00,7346981.55,13137532.00,13142231.00,95.00,,95.00,95.00,,
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ04","Clinical Services and Public Health",256808259.00,130023713.03,256181735.00,255425291.00,1059.00,,1059.00,1059.00,,
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ05","Mental Health Services",140988607.00,67613776.64,140468368.00,139389915.00,836.00,,836.00,836.00,,
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ06","Food Services",120674261.00,56467100.37,119653042.00,120192186.00,468.00,,468.00,468.00,,
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ07","Accommodation Services",589588516.00,188265219.19,616916845.00,649019875.00,1165.00,,1162.00,1162.00,,
"2025-2026",117,"Correctional Service of Canada","Care and Custody","BUJ08","Preventive Security and Intelligence",22770098.00,12099525.87,22656780.00,22666921.00,204.00,,203.00,203.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK01","Offender Case Management",324222361.00,155638245.67,338567406.00,317067827.00,2536.00,,2514.00,2514.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK02","Community Engagement",9292499.00,4569997.73,9272341.00,9276269.00,79.00,,79.00,79.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK03","Chaplaincy Services",13067786.00,5805103.30,13050273.00,13051283.00,19.00,,19.00,19.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK04","Elder Services",8655881.00,6375573.83,8655888.00,8655926.00,1.00,,1.00,1.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK08","Offender Education",29417894.00,14503171.17,29334010.00,29344420.00,179.00,,179.00,179.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK09","CORCAN Employment and Employability",55788050.00,42894435.02,55773274.00,55776437.00,627.00,,627.00,627.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK10","Social Program",26540046.00,13507135.91,26346532.00,26356833.00,252.00,,251.00,251.00,,
"2025-2026",117,"Correctional Service of Canada","Correctional Interventions","BUK11","Correctional Programs",101948356.00,51763925.73,101784037.00,102136476.00,897.00,,896.00,896.00,,
"2025-2026",117,"Correctional Service of Canada","Community Supervision","BUL01","Community Management and Security",25521646.00,13266420.83,25489526.00,25496662.00,127.00,,126.00,126.00,,
"2025-2026",117,"Correctional Service of Canada","Community Supervision","BUL02","Community-Based Residential Facilities",158663432.00,74682956.73,158663432.00,158663432.00,0.00,,0.00,0.00,"The Community-Based Residential Facilities (CBRF) Program contributes to Community Supervision by providing accommodation to offenders in CBRFs operated by non-governmental agencies under contract with CSC, resulting in no FTEs.",
"2025-2026",117,"Correctional Service of Canada","Community Supervision","BUL03","Community Correctional Centres",27366695.00,13351779.43,26966750.00,27198253.00,6.00,,6.00,6.00,,
"2025-2026",117,"Correctional Service of Canada","Community Supervision","BUL04","Community Health Services",18445100.00,8505574.63,18345185.00,18134856.00,105.00,,105.00,105.00,,
